"COD_CANTON","CANTON","ARCH_CANTON"
"0101","CUENCA","0101 CUENCA"
"0102","GIRON","0102 GIRON"
"0103","GUALACEO","0103 GUALACEO"
"0104","NABON","0104 NABON"
"0105","PAUTE","0105 PAUTE"
"0106","PUCARA","0106 PUCARA"
"0107","SAN FERNANDO","0107 SAN FERNANDO"
"0108","SANTA ISABEL","0108 SANTA ISABEL"
"0109","SIGSIG","0109 SIGSIG"
"0110","ONA","0110 ONA"
"0111","CHORDELEG","0111 CHORDELEG"
"0112","EL PAN","0112 EL PAN"
"0113","SEVILLA DE ORO","0113 SEVILLA DE ORO"
"0114","GUACHAPALA","0114 GUACHAPALA"
"0115","CAMILO PONCE ENRIQUEZ","0115 CAMILO PONCE ENRIQUEZ"
"0201","LAS NAVES","0201 LAS NAVES"
"0202","CHILLANES","0202 CHILLANES"
"0203","ECHEANDIA","0203 ECHEANDIA"
"0204","GUARANDA","0204 GUARANDA"
"0205","SAN MIGUEL","0205 SAN MIGUEL"
"0206","CALUMA","0206 CALUMA"
"0207","SAN JOSE DE CHIMBO","0207 SAN JOSE DE CHIMBO"
"0301","AZOGUES","0301 AZOGUES"
"0302","BIBLIAN","0302 BIBLIAN"
"0303","CANAR","0303 CANAR"
"0304","LA TRONCAL","0304 LA TRONCAL"
"0305","EL TAMBO","0305 EL TAMBO"
"0306","DELEG","0306 DELEG"
"0307","SUSCAL","0307 SUSCAL"
"0401","TULCAN","0401 TULCAN"
"0402","BOLIVAR","0402 BOLIVAR"
"0403","ESPEJO","0403 ESPEJO"
"0404","MIRA","0404 MIRA"
"0405","MONTUFAR","0405 MONTUFAR"
"0406","SAN PEDRO DE HUACA","0406 SAN PEDRO DE HUACA"
"0501","LATACUNGA","0501 LATACUNGA"
"0502","LA MANA","0502 LA MANA"
"0503","PANGUA","0503 PANGUA"
"0504","PUJILI","0504 PUJILI"
"0505","SALCEDO","0505 SALCEDO"
"0506","SAQUISILI","0506 SAQUISILI"
"0507","SIGCHOS","0507 SIGCHOS"
"0601","RIOBAMBA","0601 RIOBAMBA"
"0602","ALAUSI","0602 ALAUSI"
"0603","COLTA","0603 COLTA"
"0604","CHAMBO","0604 CHAMBO"
"0605","CHUNCHI","0605 CHUNCHI"
"0606","GUAMOTE","0606 GUAMOTE"
"0607","GUANO","0607 GUANO"
"0608","PALLATANGA","0608 PALLATANGA"
"0609","PENIPE","0609 PENIPE"
"0610","CUMANDA","0610 CUMANDA"
"0701","MACHALA","0701 MACHALA"
"0702","ARENILLAS","0702 ARENILLAS"
"0703","ATAHUALPA","0703 ATAHUALPA"
"0704","BALSAS","0704 BALSAS"
"0705","CHILLA","0705 CHILLA"
"0706","EL GUABO","0706 EL GUABO"
"0707","HUAQUILLAS","0707 HUAQUILLAS"
"0708","MARCABELI","0708 MARCABELI"
"0709","PASAJE","0709 PASAJE"
"0710","PINAS","0710 PINAS"
"0711","PORTOVELO","0711 PORTOVELO"
"0712","SANTA ROSA","0712 SANTA ROSA"
"0713","ZARUMA","0713 ZARUMA"
"0714","LAS LAJAS","0714 LAS LAJAS"
"0801","ESMERALDAS","0801 ESMERALDAS"
"0802","ELOY ALFARO","0802 ELOY ALFARO"
"0803","MUISNE","0803 MUISNE"
"0804","QUININDE","0804 QUININDE"
"0805","SAN LORENZO","0805 SAN LORENZO"
"0806","ATACAMES","0806 ATACAMES"
"0807","RIOVERDE","0807 RIOVERDE"
"0901","GUAYAQUIL","0901 GUAYAQUIL"
"0902","ALFREDO BAQUERIZO MORENO","0902 ALFREDO BAQUERIZO MORENO"
"0903","BALAO","0903 BALAO"
"0904","BALZAR","0904 BALZAR"
"0905","COLIMES","0905 COLIMES"
"0906","DAULE","0906 DAULE"
"0907","DURAN","0907 DURAN"
"0908","EL EMPALME","0908 EL EMPALME"
"0909","EL TRIUNFO","0909 EL TRIUNFO"
"0910","MILAGRO","0910 MILAGRO"
"0911","NARANJAL","0911 NARANJAL"
"0912","NARANJITO","0912 NARANJITO"
"0913","PALESTINA","0913 PALESTINA"
"0914","PEDRO CARBO","0914 PEDRO CARBO"
"0916","SAMBORONDON","0916 SAMBORONDON"
"0918","SANTA LUCIA","0918 SANTA LUCIA"
"0919","URBINA JADO","0919 URBINA JADO"
"0920","SAN JACINTO DE YAGUACHI","0920 SAN JACINTO DE YAGUACHI"
"0921","PLAYAS","0921 PLAYAS"
"0922","SIMON BOLIVAR","0922 SIMON BOLIVAR"
"0923","CORONEL MARCELINO MARIDUENA","0923 CORONEL MARCELINO MARIDUENA"
